WBS ID,タスク名,親タスク,担当者,開始日,終了日,期間(日),進捗率(%),ステータス,優先度,依存関係,備考
1,開発環境構築・基盤整備,,個人開発者,2025/06/30,2025/07/13,14,0,未着手,高,,Phase 1
1.1,開発環境セットアップ,1,個人開発者,2025/06/30,2025/07/04,5,0,未着手,高,,"環境構築の基盤"
1.1.1,React Native開発環境構築,1.1,個人開発者,2025/06/30,2025/06/30,1,0,未着手,高,,Expo CLI・Android Studio・Xcode
1.1.2,バックエンド開発環境構築,1.1,個人開発者,2025/07/01,2025/07/01,1,0,未着手,高,,Node.js・PostgreSQL・Redis
1.1.3,クラウド環境準備,1.1,個人開発者,2025/07/02,2025/07/03,2,0,未着手,高,,AWS/GCP・Firebase設定
1.1.4,CI/CD パイプライン基礎構築,1.1,個人開発者,2025/07/04,2025/07/04,1,0,未着手,中,,GitHub Actions設定
1.2,プロジェクト構造構築,1,個人開発者,2025/07/05,2025/07/08,4,0,未着手,高,1.1,基本プロジェクト構造
1.2.1,React Native プロジェクト構造作成,1.2,個人開発者,2025/07/05,2025/07/06,2,0,未着手,高,,ディレクトリ構造・基本コンポーネント
1.2.2,バックエンドプロジェクト構造作成,1.2,個人開発者,2025/07/07,2025/07/08,2,0,未着手,高,,Express.js基盤・ミドルウェア
1.3,データベース構築,1,個人開発者,2025/07/09,2025/07/11,3,0,未着手,高,1.1.2,DB基盤構築
1.3.1,データベーススキーマ実装,1.3,個人開発者,2025/07/09,2025/07/10,2,0,未着手,高,,テーブル作成・インデックス設定
1.3.2,マスターデータ投入,1.3,個人開発者,2025/07/11,2025/07/11,1,0,未着手,中,,カテゴリ・初期スポットデータ
1.4,外部API連携準備,1,個人開発者,2025/07/12,2025/07/13,2,0,未着手,高,,外部サービス設定
1.4.1,Google Maps API設定,1.4,個人開発者,2025/07/12,2025/07/12,1,0,未着手,高,,地図API設定
1.4.2,Firebase Auth設定,1.4,個人開発者,2025/07/13,2025/07/13,1,0,未着手,高,,認証設定
2,バックエンドAPI開発,,個人開発者,2025/07/14,2025/08/10,28,0,未着手,高,1,Phase 2
2.1,認証機能開発,2,個人開発者,2025/07/14,2025/07/20,7,0,未着手,高,,ユーザー認証システム
2.1.1,JWT認証システム実装,2.1,個人開発者,2025/07/14,2025/07/16,3,0,未着手,高,,トークン生成・検証・ミドルウェア
2.1.2,Firebase Auth連携,2.1,個人開発者,2025/07/17,2025/07/18,2,0,未着手,高,1.4.2,ソーシャルログイン対応
2.1.3,ユーザー管理API,2.1,個人開発者,2025/07/19,2025/07/20,2,0,未着手,高,,登録・ログイン・プロフィール管理
2.2,スポット管理API,2,個人開発者,2025/07/21,2025/07/30,10,0,未着手,高,,観光スポットAPI
2.2.1,基本CRUD操作,2.2,個人開発者,2025/07/21,2025/07/23,3,0,未着手,高,,スポット作成・取得・更新・削除
2.2.2,位置情報検索機能,2.2,個人開発者,2025/07/24,2025/07/27,4,0,未着手,高,1.3,近隣検索・PostGIS活用
2.2.3,カテゴリ・検索機能,2.2,個人開発者,2025/07/28,2025/07/30,3,0,未着手,高,,カテゴリ別・全文検索
2.3,レビュー・評価システム,2,個人開発者,2025/07/31,2025/08/05,6,0,未着手,中,,ユーザー評価機能
2.3.1,レビュー機能,2.3,個人開発者,2025/07/31,2025/08/02,3,0,未着手,中,,レビュー投稿・取得・編集
2.3.2,お気に入り機能,2.3,個人開発者,2025/08/03,2025/08/04,2,0,未着手,中,,お気に入り登録・削除
2.3.3,訪問履歴機能,2.3,個人開発者,2025/08/05,2025/08/05,1,0,未着手,低,,履歴記録・取得機能
2.4,API最適化・テスト,2,個人開発者,2025/08/06,2025/08/10,5,0,未着手,高,,品質保証
2.4.1,パフォーマンス最適化,2.4,個人開発者,2025/08/06,2025/08/07,2,0,未着手,高,,クエリ最適化・キャッシュ実装
2.4.2,APIテスト作成,2.4,個人開発者,2025/08/08,2025/08/09,2,0,未着手,高,,ユニット・統合テスト
2.4.3,API仕様書作成,2.4,個人開発者,2025/08/10,2025/08/10,1,0,未着手,中,,Swagger/OpenAPI仕様書
3,フロントエンド基本機能開発,,個人開発者,2025/08/11,2025/09/21,42,0,未着手,高,2,Phase 3
3.1,基盤機能実装,3,個人開発者,2025/08/11,2025/08/20,10,0,未着手,高,,フロントエンド基盤
3.1.1,状態管理実装,3.1,個人開発者,2025/08/11,2025/08/14,4,0,未着手,高,,Redux Toolkit設定・slice作成
3.1.2,共通コンポーネント開発,3.1,個人開発者,2025/08/15,2025/08/18,4,0,未着手,高,,UI基盤・再利用コンポーネント
3.1.3,ナビゲーション完成,3.1,個人開発者,2025/08/19,2025/08/20,2,0,未着手,高,,画面遷移・タブナビゲーション
3.2,認証画面開発,3,個人開発者,2025/08/21,2025/08/28,8,0,未着手,高,2.1,ユーザー認証UI
3.2.1,ログイン・サインアップ画面,3.2,個人開発者,2025/08/21,2025/08/24,4,0,未着手,高,,フォーム実装・バリデーション
3.2.2,ソーシャルログイン,3.2,個人開発者,2025/08/25,2025/08/26,2,0,未着手,高,,Google/Apple ログイン
3.2.3,プロフィール画面,3.2,個人開発者,2025/08/27,2025/08/28,2,0,未着手,中,,プロフィール表示・編集
3.3,ホーム画面開発,3,個人開発者,2025/08/29,2025/09/05,8,0,未着手,高,,メイン機能UI
3.3.1,メイン画面レイアウト,3.3,個人開発者,2025/08/29,2025/08/31,3,0,未着手,高,,基本UI・提案機能UI
3.3.2,スポット一覧表示,3.3,個人開発者,2025/09/01,2025/09/03,3,0,未着手,高,2.2,リスト表示・無限スクロール
3.3.3,フィルタリングUI,3.3,個人開発者,2025/09/04,2025/09/05,2,0,未着手,中,,カテゴリ選択・距離フィルター
3.4,スポット詳細画面,3,個人開発者,2025/09/06,2025/09/13,8,0,未着手,高,,スポット詳細UI
3.4.1,詳細情報表示,3.4,個人開発者,2025/09/06,2025/09/09,4,0,未着手,高,,基本情報・画像ギャラリー
3.4.2,レビュー機能UI,3.4,個人開発者,2025/09/10,2025/09/11,2,0,未着手,中,2.3.1,レビュー表示・投稿UI
3.4.3,お気に入り・共有機能,3.4,個人開発者,2025/09/12,2025/09/13,2,0,未着手,中,2.3.2,ボタン実装・SNS共有
3.5,検索・履歴機能,3,個人開発者,2025/09/14,2025/09/21,8,0,未着手,中,,検索・履歴UI
3.5.1,検索画面実装,3.5,個人開発者,2025/09/14,2025/09/17,4,0,未着手,中,2.2.3,検索フォーム・結果表示
